"bookRank","author","authorRank","title","avg_rating","num_ratings","publication_year","num_pages","titleLength","book_series"
8,"Melissa F. Olson",94,"Sell-By Date",3.85,641,2014,NA,37,"Scarlett Bernard"
9,"Melissa F. Olson",94,"Shifters After Dark",3.87,555,NA,NA,19,""
10,"Melissa F. Olson",94,"Bloodsick",4.04,452,NA,175,34,"Scarlett Bernard"
1,"Amy A. Bartol",95,"Inescapable",4.06,26651,2011,368,33,"The Premonition"
2,"Amy A. Bartol",95,"Intuition",4.3,19191,2011,394,31,"The Premonition"
3,"Amy A. Bartol",95,"Indebted",4.38,16931,2012,427,30,"The Premonition"
4,"Amy A. Bartol",95,"Incendiary",4.44,13349,2012,460,32,"The Premonition"
5,"Amy A. Bartol",95,"Under Different Stars",4.25,9246,NA,NA,35,"Kricket"
6,"Amy A. Bartol",95,"Sea of Stars",4.28,5514,2015,320,26,"Kricket"
7,"Amy A. Bartol",95,"Darken the Stars",4.06,4337,2015,NA,30,"Kricket"
8,"Amy A. Bartol",95,"Iniquity",4.36,3799,2015,366,30,"The Premonition"
9,"Amy A. Bartol",95,"Take Me To Your Reader: An Otherworld Anthology",3.97,159,NA,NA,47,""
10,"Amy A. Bartol",95,"Hidden Worlds",4.09,126,2014,315,13,""
1,"J.D. Horn",96,"The Line",3.77,13703,2014,296,32,"Witching Savannah"
2,"J.D. Horn",96,"The Source",3.91,7682,2014,339,34,"Witching Savannah"
3,"J.D. Horn",96,"The Void",3.79,5062,2014,322,32,"Witching Savannah"
4,"J.D. Horn",96,"Jilo",4.08,904,2016,317,27,"Witching Savannah"
5,"J.D. Horn",96,"Shivaree",3.65,212,2015,277,8,""
6,"J.D. Horn",96,"Pretty Enough to Catch Her",3.53,34,2015,45,26,""
7,"J.D. Horn",96,"Phantasma: Stories",4.09,23,NA,NA,18,""
8,"J.D. Horn",96,"The Mammoth Book of Southern Gothic Romance",3.46,24,2014,512,43,""
9,"J.D. Horn",96,"Pitch",3.8,20,2016,NA,5,""
10,"J.D. Horn",96,"The Final Days of Magic",0,0,2018,NA,56,"The Witches of New Orleans"
1,"Lucy A. Snyder",97,"Spellbent",3.6,1398,2010,360,30,"Jessie Shimmer"
2,"Lucy A. Snyder",97,"Hellbound Hearts",4.07,906,2009,352,16,""
3,"Lucy A. Snyder",97,"Shotgun Sorceress",3.72,560,2010,336,38,"Jessie Shimmer"
4,"Lucy A. Snyder",97,"Switchblade Goddess",3.72,345,2011,323,40,"Jessie Shimmer"
5,"Lucy A. Snyder",97,"Once Upon a Curse: Stories and Fairy Tales for Adult Readers",3.8,300,2012,262,60,""
6,"Lucy A. Snyder",97,"The Best Horror of the Year Volume Five",3.74,264,2013,385,39,""
7,"Lucy A. Snyder",97,"A Glimpse of Darkness",3.62,227,2010,50,21,""
8,"Lucy A. Snyder",97,"Seize the Night: New Tales of Vampiric Terror",3.71,221,2015,544,45,""
9,"Lucy A. Snyder",97,"Horror 101: The Way Forward",4.27,153,2014,NA,27,""
10,"Lucy A. Snyder",97,"Dark Faith",3.97,159,2010,375,10,""
1,"Kristine Kathryn Rusch",98,"The New Rebellion",3.42,5245,1997,532,17,""
2,"Kristine Kathryn Rusch",98,"The Disappeared",3.75,1608,2002,374,38,"Retrieval Artist"
3,"Kristine Kathryn Rusch",98,"X-Men",4.04,1261,2000,256,5,""
4,"Kristine Kathryn Rusch",98,"Diving into the Wreck",3.5,1104,2009,269,43,"Diving Universe"
5,"Kristine Kathryn Rusch",98,"Extremes",3.95,802,2003,384,31,"Retrieval Artist"
6,"Kristine Kathryn Rusch",98,"Consequences",3.98,683,2004,370,35,"Retrieval Artist"
7,"Kristine Kathryn Rusch",98,"Buried Deep",4.07,626,2005,384,34,"Retrieval Artist"
8,"Kristine Kathryn Rusch",98,"The Sacrifice",3.7,654,1995,660,27,"The Fey"
9,"Kristine Kathryn Rusch",98,"Paloma",4.11,563,2006,384,29,"Retrieval Artist"
10,"Kristine Kathryn Rusch",98,"Recovery Man",4.06,503,2007,384,35,"Retrieval Artist"
1,"Anton Strout",99,"Dead To Me",3.26,2444,2008,368,32,"Simon Canderous"
2,"Anton Strout",99,"Deader Still",3.75,1122,2009,303,34,"Simon Canderous"
3,"Anton Strout",99,"Dead Matter",3.82,771,2010,320,33,"Simon Canderous"
4,"Anton Strout",99,"Alchemystic",3.16,745,2012,290,43,"The Spellmason Chronicles"
5,"Anton Strout",99,"Dead Waters",3.84,577,2011,335,33,"Simon Canderous"
6,"Anton Strout",99,"Blackguards: Tales of Assassins, Mercenaries, and Rogues",3.9,333,2015,738,56,""
7,"Anton Strout",99,"Westward Weird",3.69,270,2012,320,14,""
8,"Anton Strout",99,"Stonecast",3.5,240,2013,289,41,"The Spellmason Chronicles"
9,"Anton Strout",99,"A Girl's Guide to Guns and Monsters",3.34,229,2010,320,35,""
10,"Anton Strout",99,"The Modern Fae's Guide to Surviving Humanity",3.52,162,2012,309,44,""
1,"Joe Abercrombie",100,"The Blade Itself",4.12,94277,2007,517,36,"The First Law"
2,"Joe Abercrombie",100,"Before They Are Hanged",4.26,70322,2007,441,42,"The First Law"
3,"Joe Abercrombie",100,"Last Argument of Kings",4.26,65072,2008,536,42,"The First Law"
4,"Joe Abercrombie",100,"Best Served Cold",4.15,34960,2009,534,38,"First Law World"
5,"Joe Abercrombie",100,"The Heroes",4.25,26057,2011,581,32,"First Law World"
6,"Joe Abercrombie",100,"Half a King",3.99,26713,2014,336,31,"Shattered Sea"
7,"Joe Abercrombie",100,"Red Country",4.26,20846,2012,469,33,"First Law World"
8,"Joe Abercrombie",100,"Half the World",4.21,15234,2015,366,34,"Shattered Sea"
9,"Joe Abercrombie",100,"Half a War",4.01,10685,2015,352,30,"Shattered Sea"
10,"Joe Abercrombie",100,"The First Law Trilogy",4.47,5051,2008,1600,21,""
